year,yield_per_hectare,trend_yield,weather_yield,relative_weather_yield,SPEI_01,SPEI_02,SPEI_03,SPEI_04,SPEI_05,SPEI_06,SPEI_07,SPEI_08,SPEI_09,SPEI_10,SPEI_11,SPEI_12,SPEI_Весь сезон,SPEI_Посев-всходы,SPEI_Всходы-вытягивание,SPEI_Вытягивание-цветение,SPEI_Цветение-созревание
1980,3.01445,3.20741,-0.1929599999999998,-6.016069040128945,0.3048106424949868,0.6226246922838651,-0.9848031757935408,0.3898924664569034,-0.0009871696636723,0.7011764782601607,-0.0918638712727628,-0.4728491498068113,-0.9749256101338464,-0.3491649358483183,0.4593836873767097,1.458554133585484,-0.1678898645233864,-0.0009871696636723,0.3500946542982442,0.304656303493699,-0.5132128770711402
1981,3.4003699999999997,3.36219,0.03817999999999966,1.1355693759127135,-0.2181218474380084,-0.227302499225615,0.97065980860464,-0.1172362770830955,0.427308433459952,0.291561127504524,0.4811596211219616,0.0679397446975007,-0.3451750762157844,-0.2214018813479189,-0.2756883874859388,-0.1971199073998598,0.18455877011363078,0.427308433459952,0.359434780482238,0.38636037431324277,0.06797476320122596
1982,3.67175,4.305178,-0.6334279999999999,-14.713166331334035,-1.2831902378584588,-1.7039786106718402,-0.931827352907612,-1.1915800714064462,-0.1727199986957726,-1.5621312052690783,-1.6733241493992403,-1.7315592689805834,-1.310314612236913,-0.9481094246727204,-1.5427010221881674,-0.8071949330768353,-1.2900098469163175,-0.1727199986957726,-0.8674256019824255,-1.6177276773341593,-1.5717326768722455
1983,5.4872,4.64668,0.8405199999999997,18.088613805986203,-0.4942822673992076,-0.5349404131140058,-1.3326822413146613,-0.3285308531277001,-0.190793654934055,1.392725639478961,1.451207681898955,0.8986965226038899,0.3723462397495883,-0.7202987006635257,-0.62330285788813,-1.9237679779585584,0.784836485759468,-0.190793654934055,0.6009659922724531,1.421966660688958,0.9074168147508112
1984,5.95212,4.988164,0.9639559999999996,19.324865822374715,-1.3439770782047311,-1.004362770830956,0.2244095273806224,1.094929946689708,0.0024693914149236,0.1720867311172337,-0.5197464582076656,0.3796267301390633,-0.0015981675606058,0.6309054924273302,-0.1895988196742692,0.2060340077275469,0.00656764538058983,0.0024693914149236,0.08727806126607865,-0.17382986354521596,-0.04723929854306938
1985,4.72196,5.414496,-0.6925359999999996,-12.790405607465583,-1.066122564763038,0.4043390664992908,0.1979976849964949,0.0969410652276691,-1.310683382513572,-0.7663565757511535,0.1583795627577887,1.4269215344234498,1.390888635289131,0.870929751055609,-0.3962704967475831,-0.7069327181727775,0.1798299548411288,-1.310683382513572,-1.0385199791323627,-0.3039885064966824,0.9920632441567898
1986,5.10779,5.564477999999999,-0.45668799999999976,-8.2072029038483,0.1928627789823766,-0.5614001532467109,-0.047665693930452,0.1897512838487748,0.010222501181956,0.7813350723031025,1.4682883646619609,1.7624084187873947,1.524606889580854,0.6244089078726422,-0.2028715499111495,-1.4337430346109326,1.1093722493030538,0.010222501181956,0.39577878674252925,1.1248117184825317,1.5851012243434033
1987,5.8034099999999995,5.363918,0.43949199999999955,8.193488416489581,-0.3837083747697223,0.2032870441317922,0.781337289489558,0.6310520549731818,-0.4599118668383899,-1.0348804838683383,-0.7909809745838701,0.7168878201470517,1.3000697109506183,1.4577111788584751,0.9657528489215672,0.2718118326024226,-0.053763158838585665,-0.4599118668383899,-0.7473961753533641,-0.9129307292261042,0.40865885217126663
1988,6.23711,5.798102,0.4390080000000003,7.571581182945734,0.1963178728052299,-1.1785805441888522,-1.4470276007108038,0.2540508648657461,0.5643296108511714,0.0620049560638419,0.1018233098028986,-0.2709191216028954,0.1921970035377166,-0.3111416227848514,-0.5224452958150606,-1.1759119320497562,0.1298871517305466,0.5643296108511714,0.31316728345750666,0.08191413293337024,0.007700397245906608
1989,4.94932,6.0046479999999995,-1.0553279999999994,-17.57518508995031,-1.1732150181776684,-0.9199129754316178,-1.2894128042517812,-1.8052905329398916,-1.868803795301521,-1.1001959927615383,0.2893919040088687,-0.3532020085100833,-0.1822173820896982,-1.1272760886222468,0.0959998043659009,-0.9377856828445198,-0.6430054549307944,-1.868803795301521,-1.4844998940315297,-0.4054020443763348,-0.08200916219697094
1990,6.89288,6.031612000000001,0.861267999999999,14.279234141718646,-0.6770144932261694,1.0012188004369162,0.8007645380589837,1.3659647532564927,1.1115158382106,1.2949469668563232,1.0492038996397073,0.6536854203687703,0.5812054973181826,-0.2088147834167495,-0.3602374345848482,-1.2668283473809483,0.9381115244787168,1.1115158382106,1.2032314025334616,1.1720754332480152,0.7613649391088867
1991,6.14052,6.103072,0.03744800000000037,0.6135926300722058,0.1200394854823195,0.1816621725166696,-0.2892437437845416,0.1756897895303151,-0.4966764375030568,-0.0800513213453105,1.4147212377117333,0.4201690604672394,0.3255935701592787,-1.143596863333279,0.3977980077927583,0.4493563312085296,0.31675122189797683,-0.4966764375030568,-0.2883638794241836,0.6673349581832114,0.7201612894460837
