year,month,SPEI
1980,1,0.30481064249498685
1980,2,0.6226246922838651
1980,3,-0.9848031757935408
1980,4,0.38989246645690345
1980,5,-0.000987169663672378
1980,6,0.7011764782601607
1980,7,-0.09186387127276284
1980,8,-0.4728491498068113
1980,9,-0.9749256101338464
1980,10,-0.34916493584831837
1980,11,0.45938368737670976
1980,12,1.458554133585484
1981,1,-0.21812184743800844
1981,2,-0.22730249922561502
1981,3,0.9706598086046399
1981,4,-0.11723627708309559
1981,5,0.42730843345995206
1981,6,0.29156112750452406
1981,7,0.4811596211219616
1981,8,0.06793974469750078
1981,9,-0.3451750762157844
1981,10,-0.22140188134791897
1981,11,-0.2756883874859388
1981,12,-0.1971199073998598
1982,1,-1.2831902378584588
1982,2,-1.7039786106718402
1982,3,-0.9318273529076119
1982,4,-1.1915800714064462
1982,5,-0.17271999869577268
1982,6,-1.5621312052690783
1982,7,-1.6733241493992403
1982,8,-1.7315592689805834
1982,9,-1.310314612236913
1982,10,-0.9481094246727204
1982,11,-1.5427010221881674
1982,12,-0.8071949330768353
1983,1,-0.49428226739920766
1983,2,-0.5349404131140058
1983,3,-1.3326822413146613
1983,4,-0.32853085312770014
1983,5,-0.190793654934055
1983,6,1.392725639478961
1983,7,1.451207681898955
1983,8,0.8986965226038899
1983,9,0.37234623974958836
1983,10,-0.7202987006635257
1983,11,-0.62330285788813
1983,12,-1.9237679779585584
1984,1,-1.3439770782047311
1984,2,-1.004362770830956
1984,3,0.22440952738062245
1984,4,1.094929946689708
1984,5,0.002469391414923621
1984,6,0.17208673111723374
1984,7,-0.5197464582076656
1984,8,0.3796267301390633
1984,9,-0.0015981675606058135
1984,10,0.6309054924273302
1984,11,-0.18959881967426925
1984,12,0.20603400772754693
1985,1,-1.0661225647630381
1985,2,0.40433906649929086
1985,3,0.1979976849964949
1985,4,0.09694106522766918
1985,5,-1.310683382513572
1985,6,-0.7663565757511535
1985,7,0.1583795627577887
1985,8,1.4269215344234498
1985,9,1.390888635289131
1985,10,0.870929751055609
1985,11,-0.39627049674758313
1985,12,-0.7069327181727775
1986,1,0.19286277898237664
1986,2,-0.5614001532467109
1986,3,-0.04766569393045208
1986,4,0.18975128384877482
1986,5,0.010222501181956015
1986,6,0.7813350723031025
1986,7,1.4682883646619607
1986,8,1.7624084187873947
1986,9,1.524606889580854
1986,10,0.6244089078726422
1986,11,-0.20287154991114953
